"","plant","hyp","gt","treat","plate"
"682",2,3.253,"yucQ","Control",9
"683",3,2.468,"yucQ","Control",9
"684",4,2.489,"yucQ","Control",9
"685",5,2.861,"yucQ","Control",9
"686",6,3.121,"yucQ","Control",9
"687",7,4.371,"yucQ","Control",9
"688",8,3.618,"yucQ","Control",9
"698",1,3.571,"Col","Control",9
"699",2,3.167,"Col","Control",9
"700",3,4.184,"Col","Control",9
"701",4,5.122,"Col","Control",9
"702",5,4.197,"Col","Control",9
"703",6,3.359,"Col","Control",9
"704",7,4.931,"Col","Control",9
"705",8,4.687,"Col","Control",9
"716",1,2.84,"yucT46-8","Control",9
"717",2,3.444,"yucT46-8","Control",9
"718",3,3.02,"yucT46-8","Control",9
"719",1,3.838,"yucT18-11","Control",9
"720",2,3.246,"yucT18-11","Control",9
"721",3,3.679,"yucT18-11","Control",9
"722",4,2.725,"yucT18-11","Control",9
"723",5,3.525,"yucT18-11","Control",9
"724",6,3.703,"yucT18-11","Control",9
"725",7,3.548,"yucT18-11","Control",9
"726",8,3.001,"yucT18-11","Control",9
"727",9,3.73,"yucT18-11","Control",9
"728",10,3.363,"yucT18-11","Control",9
"729",1,3.352,"yucQ","Control",10
"730",2,3.399,"yucQ","Control",10
"731",3,3.377,"yucQ","Control",10
"732",4,4.204,"yucQ","Control",10
"733",5,3.016,"yucQ","Control",10
"734",6,4.454,"yucQ","Control",10
"735",7,4.146,"yucQ","Control",10
"736",8,3.292,"yucQ","Control",10
"737",9,3.808,"yucQ","Control",10
"738",10,3.531,"yucQ","Control",10
"739",11,3.98,"yucQ","Control",10
"751",1,3.413,"Col","Control",10
"752",2,4.125,"Col","Control",10
"753",3,2.926,"Col","Control",10
"754",4,4.06,"Col","Control",10
"755",5,3.65,"Col","Control",10
"756",6,2.37,"Col","Control",10
"757",7,3.462,"Col","Control",10
"758",8,3.955,"Col","Control",10
"779",1,4.097,"yucT46-8","Control",10
"780",2,3.422,"yucT46-8","Control",10
"781",3,4.435,"yucT46-8","Control",10
"782",4,3.109,"yucT46-8","Control",10
"783",5,4.041,"yucT46-8","Control",10
"784",6,3.693,"yucT46-8","Control",10
"785",7,3.244,"yucT46-8","Control",10
"786",8,4.293,"yucT46-8","Control",10
"787",9,4.069,"yucT46-8","Control",10
"788",1,3.348,"yucT18-11","Control",10
"789",2,3.439,"yucT18-11","Control",10
"790",3,3.394,"yucT18-11","Control",10
"791",4,3.313,"yucT18-11","Control",10
"792",5,3.787,"yucT18-11","Control",10
"793",6,4.608,"yucT18-11","Control",10
"794",7,2.77,"yucT18-11","Control",10
