genotype,light,NPA,replicate,exp,scan_date,file,hypocotyl_mm
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:1049-1736,2.411
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0936-1834,3.379
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0791-1873,3.369
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0604-1988,1.862
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0552-1694,2.163
Col,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003.tif:0420-1802,2.84
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0648-2334,2.351
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0852-2395,2.507
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0494-2655,2.131
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0801-2807,3.477
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0921-2658,3.614
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0520-2934,2.799
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0913-3092,3.11
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0894-3304,4.6
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0542-3283,4.163
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0495-3554,2.91
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0749-3686,3.039
yuc2589,noEODFR,none,a,4,8/3/12,yuc_EODFR_KN003-1.tif:0621-3929,2.791
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1458-0227,3.386
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1401-0356,2.548
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1434-0581,3.644
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1530-0849,2.83
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1664-0525,3.16
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1768-0336,4.26
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1817-0601,3.669
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1742-0894,3.484
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1648-1061,3.689
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1471-1062,2.9
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1392-1367,4.487
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1588-1342,3.336
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1736-1293,2.414
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1885-1178,3.213
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1904-1031,2.49
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1911-0787,3.539
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1943-0629,1.047
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1570-1544,3.258
Col,noEODFR,none,b,4,8/3/12,yuc_EODFR_KN003.tif:1772-1592,4.097
