"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"1","shade","B","yuc2yuc5yuc9",95,"yuc_SAS_exp1_002label.jpg:4030-4305",7.562
"1","shade","B","yuc2yuc5yuc9",96,"yuc_SAS_exp1_002label.jpg:4061-4289",5.295
"1","shade","B","yuc5yuc8yuc9",97,"yuc_SAS_exp1_002label.jpg:4554-2661",6.586
"1","shade","B","yuc5yuc8yuc9",98,"yuc_SAS_exp1_002label.jpg:4552-2755",5.962
"1","shade","B","yuc5yuc8yuc9",99,"yuc_SAS_exp1_002label.jpg:4690-2877",5.948
"1","shade","B","yuc5yuc8yuc9",100,"yuc_SAS_exp1_002label.jpg:4562-2976",6.246
"1","shade","B","yuc5yuc8yuc9",101,"yuc_SAS_exp1_002label.jpg:4553-3154",7.979
"1","shade","B","yuc5yuc8yuc9",102,"yuc_SAS_exp1_002label.jpg:4548-3316",6.985
"1","shade","B","yuc8",103,"yuc_SAS_exp1_002label.jpg:4588-3661",5.938
"1","shade","B","yuc8",104,"yuc_SAS_exp1_002label.jpg:4586-3840",7.046
"1","shade","B","yuc8",105,"yuc_SAS_exp1_002label.jpg:4616-3951",5.545
"1","shade","B","yuc8",106,"yuc_SAS_exp1_002label.jpg:4621-4140",2.185
"1","shade","B","yuc8",107,"yuc_SAS_exp1_002label.jpg:4589-4268",6.552
"1","sun","B","Col",1,"yuc_SAS_exp1_001.tif:0629-0571",4.345
"1","sun","B","Col",2,"yuc_SAS_exp1_001.tif:0645-0945",3.885
"1","sun","B","Col",3,"yuc_SAS_exp1_001.tif:0642-1283",5.081
"1","sun","B","yuc9",4,"yuc_SAS_exp1_001.tif:0668-1462",6.006
"1","sun","B","yuc9",5,"yuc_SAS_exp1_001.tif:0648-1586",8.02
"1","sun","B","yuc9",6,"yuc_SAS_exp1_001.tif:0698-1704",5.483
"1","sun","B","yuc9",7,"yuc_SAS_exp1_001.tif:0643-1827",6.473
"1","sun","B","yuc9",8,"yuc_SAS_exp1_001.tif:0703-1955",6.322
