"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
5,"sun","yucQ","3","6",5.747,13.987,9.65,106.016,50.631,0.52,"Kazu","yuc2589"
5,"sun","Col","1","3",8.616,14.157,11.037,122.724,54.271,0.524,"Kazu","Col"
5,"sun","Col","1","4",10.524,16.17,11.648,147.926,59.775,0.52,"Kazu","Col"
5,"sun","Col","1","5",9.896,16.405,11.132,143.432,59.521,0.509,"Kazu","Col"
5,"sun","Col","1","6",9.087,17.206,10.616,143.46,59.775,0.505,"Kazu","Col"
5,"sun","Col","2","3",8.61,12.832,9.579,96.546,48.26,0.521,"Kazu","Col"
5,"sun","Col","2","4",7.013,12.895,10.695,108.312,50.461,0.535,"Kazu","Col"
5,"sun","Col","2","5",8.744,15.357,9.339,112.649,52.239,0.519,"Kazu","Col"
5,"sun","Col","2","6",7.654,15.277,8.937,107.231,51.901,0.5,"Kazu","Col"
5,"sun","Col","3","3",9.932,15.198,10.43,124.489,55.965,0.499,"Kazu","Col"
5,"sun","Col","3","4",9.594,15.27,11.39,136.598,58.335,0.504,"Kazu","Col"
5,"sun","Col","3","5",8.139,15.333,11.097,133.634,57.065,0.516,"Kazu","Col"
5,"sun","Col","3","6",8.376,15.225,9.176,109.731,53.848,0.476,"Kazu","Col"
5,"sun","Col","4","3",6.99,12.938,10.171,103.353,49.953,0.52,"Kazu","Col"
5,"sun","Col","4","4",8.992,14.697,11.097,128.091,54.102,0.55,"Kazu","Col"
5,"sun","Col","4","5",6.778,16.319,10.727,137.482,57.235,0.527,"Kazu","Col"
5,"sun","Col","4","6",6.999,14.942,9.389,110.183,51.562,0.521,"Kazu","Col"
5,"sun","Col","5","3",7.959,13.531,10.66,113.287,53.34,0.5,"Kazu","Col"
5,"sun","Col","5","4",8.684,14.597,10.665,122.267,53.509,0.537,"Kazu","Col"
5,"sun","Col","5","5",6.401,14.975,9.757,114.751,54.61,0.484,"Kazu","Col"
5,"sun","Col","5","6",7.573,14.795,8.837,102.684,50.038,0.515,"Kazu","Col"
5,"sun","Col","6","3",7.225,12.423,9.443,92.14,46.821,0.528,"Kazu","Col"
5,"sun","Col","6","4",8.65,13.308,9.528,99.58,49.361,0.514,"Kazu","Col"
5,"sun","Col","6","5",7.646,14.306,9.527,107.043,50.546,0.526,"Kazu","Col"
5,"sun","Col","6","6",6.999,14.011,8.459,93.084,48.091,0.506,"Kazu","Col"
5,"sun","Col","7","3",7.988,11.356,9.465,84.414,46.228,0.496,"Kazu","Col"
5,"sun","Col","7","4",9.137,13.632,10.08,107.919,51.054,0.52,"Kazu","Col"
5,"sun","Col","7","5",8.742,15.111,9.664,114.69,55.457,0.469,"Kazu","Col"
5,"sun","Col","7","6",7.582,15.319,8.834,106.294,52.493,0.485,"Kazu","Col"
5,"shade","Col","1","3",11.082,13.813,11.006,119.407,54.102,0.513,"Kazu","Col"
5,"shade","Col","1","4",11.597,14.555,11.701,133.758,55.711,0.542,"Kazu","Col"
5,"shade","Col","1","5",14.609,18.192,10.728,153.286,63.246,0.482,"Kazu","Col"
5,"shade","Col","1","6",12.523,17.231,9.683,131.039,56.642,0.513,"Kazu","Col"
5,"shade","Col","2","3",12.01,13.729,10.578,114.061,52.493,0.52,"Kazu","Col"
5,"shade","Col","2","4",12.003,15.341,11.083,133.528,58.759,0.486,"Kazu","Col"
5,"shade","Col","2","5",13.383,18.157,8.223,117.263,59.097,0.422,"Kazu","Col"
5,"shade","Col","2","6",11.953,18.016,7.891,111.649,56.049,0.447,"Kazu","Col"
5,"shade","Col","3","3",7.13,11.461,9.145,82.319,44.704,0.518,"Kazu","Col"
5,"shade","Col","3","4",9.896,12.936,10.134,102.959,51.054,0.496,"Kazu","Col"
5,"shade","Col","3","5",9.362,13.679,9.304,99.959,49.53,0.512,"Kazu","Col"
5,"shade","Col","3","6",9.049,15.451,8.46,102.659,54.949,0.427,"Kazu","Col"
5,"shade","Col","5","3",9.585,13.883,10.873,118.557,55.457,0.484,"Kazu","Col"
5,"shade","Col","5","4",8.145,13.792,11.696,126.697,55.118,0.524,"Kazu","Col"
5,"shade","Col","5","5",11.972,16.246,9.803,125.079,56.727,0.488,"Kazu","Col"
5,"shade","Col","5","6",11.887,17.008,8.703,116.258,55.965,0.466,"Kazu","Col"
5,"shade","Col","6","3",8.748,12.26,9.381,90.331,48.26,0.487,"Kazu","Col"
5,"shade","Col","6","4",9.475,14.087,10.707,118.468,53.509,0.52,"Kazu","Col"
5,"shade","Col","6","5",11.436,16.471,7.728,99.973,51.393,0.476,"Kazu","Col"
5,"shade","Col","6","6",9.535,16.002,8.634,108.511,53.171,0.482,"Kazu","Col"
5,"shade","Col","7","3",8.137,12.62,9.87,97.83,50.546,0.481,"Kazu","Col"
5,"shade","Col","7","4",10.625,13.673,9.606,103.154,50.631,0.506,"Kazu","Col"
5,"shade","Col","7","5",11.3,15.72,10.203,125.966,57.404,0.48,"Kazu","Col"
5,"shade","Col","7","6",7.829,15.829,8.71,108.276,53.679,0.472,"Kazu","Col"
5,"shade","Col","8","3",8.463,13.142,10.591,109.313,53.171,0.486,"Kazu","Col"
5,"shade","Col","8","4",11.348,14.929,11.049,129.546,58.589,0.474,"Kazu","Col"
5,"shade","Col","8","5",12.48,16.95,10.393,138.356,59.521,0.491,"Kazu","Col"
5,"shade","Col","8","6",10.522,18.002,9.431,133.349,60.537,0.457,"Kazu","Col"
5,"sun","Col","8","3",7.745,14.696,8.14,93.959,49.53,0.481,"Kazu","Col"
