Timepoint,Genotype,Treatment,Int
640,Col,No FR,167954944
660,Col,No FR,167955776
680,Col,No FR,167958896
700,Col,No FR,167962608
720,Col,No FR,167968080
740,Col,No FR,167973232
760,Col,No FR,167981408
780,Col,No FR,167985312
800,Col,No FR,167993776
820,Col,No FR,167998624
840,Col,No FR,168002384
860,Col,No FR,168003552
880,Col,No FR,168001264
900,Col,No FR,168000192
920,Col,No FR,167995968
940,Col,No FR,167990784
960,Col,No FR,167984320
980,Col,No FR,167974608
1000,Col,No FR,167963904
1020,Col,No FR,167949920
1040,Col,No FR,167935312
1060,Col,No FR,167922096
0,Col,No FR,167926800
20,Col,No FR,167940464
40,Col,No FR,167962336
60,Col,No FR,167970240
80,Col,No FR,167969856
100,Col,No FR,167974144
120,Col,No FR,167973232
140,Col,No FR,167971472
160,Col,No FR,167971760
180,Col,No FR,167969984
200,Col,No FR,167973168
220,Col,No FR,167977120
240,Col,No FR,167978768
260,Col,No FR,167978704
280,Col,No FR,167976480
300,Col,No FR,167975056
320,Col,No FR,167974560
340,Col,No FR,167973440
360,Col,No FR,167971504
380,Col,No FR,167970976
400,Col,No FR,167968752
420,Col,No FR,167967888
440,Col,No FR,167966784
460,Col,No FR,167964720
480,Col,No FR,167961776
500,Col,No FR,167957216
520,Col,No FR,167952672
540,Col,No FR,167948624
560,Col,No FR,167945808
580,Col,No FR,167941200
600,Col,No FR,167940000
620,Col,No FR,167938944
640,Col,No FR,167937760
660,Col,No FR,167935632
680,Col,No FR,167937904
700,Col,No FR,167941072
720,Col,No FR,167943712
740,Col,No FR,167944624
760,Col,No FR,167946640
780,Col,No FR,167943216
800,Col,No FR,167949248
820,Col,No FR,167946496
840,Col,No FR,167942752
860,Col,No FR,167939728
880,Col,No FR,167933232
900,Col,No FR,167929200
920,Col,No FR,167922480
940,Col,No FR,167920096
960,Col,No FR,167914352
980,Col,No FR,167904496
1000,Col,No FR,167896880
1020,Col,No FR,167890352
1040,Col,No FR,167883232
1060,Col,No FR,167875984
0,yuccaQ,No FR,167696672
20,yuccaQ,No FR,167701152
40,yuccaQ,No FR,167703424
60,yuccaQ,No FR,167705040
80,yuccaQ,No FR,167703792
100,yuccaQ,No FR,167708688
120,yuccaQ,No FR,167710016
140,yuccaQ,No FR,167713312
160,yuccaQ,No FR,167714624
180,yuccaQ,No FR,167714240
200,yuccaQ,No FR,167714432
220,yuccaQ,No FR,167716128
240,yuccaQ,No FR,167716832
260,yuccaQ,No FR,167717008
280,yuccaQ,No FR,167716416
300,yuccaQ,No FR,167717648
320,yuccaQ,No FR,167717232
340,yuccaQ,No FR,167718080
360,yuccaQ,No FR,167717040
380,yuccaQ,No FR,167717120
400,yuccaQ,No FR,167716944
420,yuccaQ,No FR,167718160
440,yuccaQ,No FR,167718816
460,yuccaQ,No FR,167718800
480,yuccaQ,No FR,167718064
500,yuccaQ,No FR,167718496
520,yuccaQ,No FR,167719136
540,yuccaQ,No FR,167718672
560,yuccaQ,No FR,167718384
580,yuccaQ,No FR,167718032
600,yuccaQ,No FR,167718864
620,yuccaQ,No FR,167719584
640,yuccaQ,No FR,167719440
660,yuccaQ,No FR,167715696
680,yuccaQ,No FR,167719472
700,yuccaQ,No FR,167720000
720,yuccaQ,No FR,167719952
740,yuccaQ,No FR,167719424
760,yuccaQ,No FR,167721008
780,yuccaQ,No FR,167717440
800,yuccaQ,No FR,167721040
820,yuccaQ,No FR,167721392
840,yuccaQ,No FR,167721984
860,yuccaQ,No FR,167721216
880,yuccaQ,No FR,167720768
900,yuccaQ,No FR,167721744
920,yuccaQ,No FR,167719472
940,yuccaQ,No FR,167719360
960,yuccaQ,No FR,167719360
980,yuccaQ,No FR,167721280
1000,yuccaQ,No FR,167718928
1020,yuccaQ,No FR,167719840
1040,yuccaQ,No FR,167718016
1060,yuccaQ,No FR,167717232
0,yuccaQ,No FR,167707136
20,yuccaQ,No FR,167712016
40,yuccaQ,No FR,167715344
60,yuccaQ,No FR,167717168
80,yuccaQ,No FR,167715872
100,yuccaQ,No FR,167721440
120,yuccaQ,No FR,167722304
140,yuccaQ,No FR,167725280
160,yuccaQ,No FR,167726432
180,yuccaQ,No FR,167727168
200,yuccaQ,No FR,167727600
220,yuccaQ,No FR,167729824
240,yuccaQ,No FR,167730720
260,yuccaQ,No FR,167731088
280,yuccaQ,No FR,167730416
300,yuccaQ,No FR,167730864
320,yuccaQ,No FR,167729760
340,yuccaQ,No FR,167730000
360,yuccaQ,No FR,167729136
380,yuccaQ,No FR,167730016
400,yuccaQ,No FR,167729536
420,yuccaQ,No FR,167730160
440,yuccaQ,No FR,167730256
460,yuccaQ,No FR,167729712
480,yuccaQ,No FR,167728928
500,yuccaQ,No FR,167729536
520,yuccaQ,No FR,167730288
540,yuccaQ,No FR,167729888
560,yuccaQ,No FR,167729920
580,yuccaQ,No FR,167729856
600,yuccaQ,No FR,167730016
620,yuccaQ,No FR,167731152
640,yuccaQ,No FR,167731056
660,yuccaQ,No FR,167730256
680,yuccaQ,No FR,167731232
700,yuccaQ,No FR,167732304
720,yuccaQ,No FR,167732352
740,yuccaQ,No FR,167732144
760,yuccaQ,No FR,167733664
780,yuccaQ,No FR,167730368
800,yuccaQ,No FR,167733536
820,yuccaQ,No FR,167733488
840,yuccaQ,No FR,167733792
860,yuccaQ,No FR,167733088
880,yuccaQ,No FR,167732736
900,yuccaQ,No FR,167733888
920,yuccaQ,No FR,167731360
940,yuccaQ,No FR,167730704
960,yuccaQ,No FR,167730448
980,yuccaQ,No FR,167731952
1000,yuccaQ,No FR,167729232
1020,yuccaQ,No FR,167729408
1040,yuccaQ,No FR,167727728
1060,yuccaQ,No FR,167726208
0,yuccaQ,No FR,167692144
20,yuccaQ,No FR,167696416
40,yuccaQ,No FR,167698944
60,yuccaQ,No FR,167702320
80,yuccaQ,No FR,167699728
100,yuccaQ,No FR,167705312
120,yuccaQ,No FR,167706544
140,yuccaQ,No FR,167708432
160,yuccaQ,No FR,167710272
180,yuccaQ,No FR,167709536
200,yuccaQ,No FR,167710096
220,yuccaQ,No FR,167710064
240,yuccaQ,No FR,167711856
260,yuccaQ,No FR,167710976
280,yuccaQ,No FR,167711168
300,yuccaQ,No FR,167711744
320,yuccaQ,No FR,167712320
340,yuccaQ,No FR,167711360
360,yuccaQ,No FR,167711312
380,yuccaQ,No FR,167711504
400,yuccaQ,No FR,167711728
420,yuccaQ,No FR,167713088
440,yuccaQ,No FR,167712752
460,yuccaQ,No FR,167712656
480,yuccaQ,No FR,167712544
500,yuccaQ,No FR,167712224
520,yuccaQ,No FR,167712528
540,yuccaQ,No FR,167713040
560,yuccaQ,No FR,167713120
580,yuccaQ,No FR,167713472
600,yuccaQ,No FR,167713840
620,yuccaQ,No FR,167713504
640,yuccaQ,No FR,167715024
660,yuccaQ,No FR,167710496
680,yuccaQ,No FR,167715648
700,yuccaQ,No FR,167714512
720,yuccaQ,No FR,167714768
740,yuccaQ,No FR,167714608
760,yuccaQ,No FR,167716320
780,yuccaQ,No FR,167713152
800,yuccaQ,No FR,167716672
820,yuccaQ,No FR,167716032
840,yuccaQ,No FR,167715472
860,yuccaQ,No FR,167716752
880,yuccaQ,No FR,167715472
900,yuccaQ,No FR,167716704
920,yuccaQ,No FR,167715088
940,yuccaQ,No FR,167716624
960,yuccaQ,No FR,167715312
980,yuccaQ,No FR,167716368
1000,yuccaQ,No FR,167715504
1020,yuccaQ,No FR,167714496
1040,yuccaQ,No FR,167714224
1060,yuccaQ,No FR,167714800
0,yuccaQ,No FR,167686352
20,yuccaQ,No FR,167690608
40,yuccaQ,No FR,167693008
60,yuccaQ,No FR,167696112
80,yuccaQ,No FR,167693808
100,yuccaQ,No FR,167699168
120,yuccaQ,No FR,167700432
140,yuccaQ,No FR,167702320
160,yuccaQ,No FR,167704032
180,yuccaQ,No FR,167703008
200,yuccaQ,No FR,167703680
220,yuccaQ,No FR,167704496
240,yuccaQ,No FR,167706160
260,yuccaQ,No FR,167704976
280,yuccaQ,No FR,167705296
300,yuccaQ,No FR,167705648
320,yuccaQ,No FR,167706544
340,yuccaQ,No FR,167706000
360,yuccaQ,No FR,167706320
380,yuccaQ,No FR,167706960
400,yuccaQ,No FR,167706560
420,yuccaQ,No FR,167707856
440,yuccaQ,No FR,167707616
460,yuccaQ,No FR,167707248
480,yuccaQ,No FR,167707520
500,yuccaQ,No FR,167706928
520,yuccaQ,No FR,167707584
540,yuccaQ,No FR,167707680
560,yuccaQ,No FR,167707728
580,yuccaQ,No FR,167707872
600,yuccaQ,No FR,167707984
620,yuccaQ,No FR,167707808
640,yuccaQ,No FR,167708560
660,yuccaQ,No FR,167704512
680,yuccaQ,No FR,167709536
700,yuccaQ,No FR,167708352
720,yuccaQ,No FR,167709376
740,yuccaQ,No FR,167708000
760,yuccaQ,No FR,167709488
780,yuccaQ,No FR,167706208
800,yuccaQ,No FR,167709808
820,yuccaQ,No FR,167708784
840,yuccaQ,No FR,167708384
860,yuccaQ,No FR,167709472
880,yuccaQ,No FR,167708560
900,yuccaQ,No FR,167710048
920,yuccaQ,No FR,167708960
940,yuccaQ,No FR,167709744
960,yuccaQ,No FR,167709264
980,yuccaQ,No FR,167710896
1000,yuccaQ,No FR,167710544
1020,yuccaQ,No FR,167709552
1040,yuccaQ,No FR,167709552
1060,yuccaQ,No FR,167708992
0,yuccaQ,No FR,167688144
20,yuccaQ,No FR,167691344
40,yuccaQ,No FR,167694016
60,yuccaQ,No FR,167697744
80,yuccaQ,No FR,167695536
100,yuccaQ,No FR,167701056
120,yuccaQ,No FR,167702160
140,yuccaQ,No FR,167704096
160,yuccaQ,No FR,167706016
180,yuccaQ,No FR,167704912
200,yuccaQ,No FR,167705872
220,yuccaQ,No FR,167705744
240,yuccaQ,No FR,167707840
260,yuccaQ,No FR,167707024
280,yuccaQ,No FR,167706960
300,yuccaQ,No FR,167707376
320,yuccaQ,No FR,167708016
340,yuccaQ,No FR,167707616
360,yuccaQ,No FR,167707920
380,yuccaQ,No FR,167708064
400,yuccaQ,No FR,167708048
420,yuccaQ,No FR,167709216
440,yuccaQ,No FR,167708640
460,yuccaQ,No FR,167708544
480,yuccaQ,No FR,167708832
500,yuccaQ,No FR,167708384
520,yuccaQ,No FR,167708656
540,yuccaQ,No FR,167710176
560,yuccaQ,No FR,167708608
580,yuccaQ,No FR,167708912
600,yuccaQ,No FR,167709152
620,yuccaQ,No FR,167708848
640,yuccaQ,No FR,167709600
660,yuccaQ,No FR,167705248
680,yuccaQ,No FR,167710192
700,yuccaQ,No FR,167709152
720,yuccaQ,No FR,167709904
740,yuccaQ,No FR,167708848
760,yuccaQ,No FR,167710144
780,yuccaQ,No FR,167706832
800,yuccaQ,No FR,167710848
820,yuccaQ,No FR,167709472
840,yuccaQ,No FR,167709152
860,yuccaQ,No FR,167709920
880,yuccaQ,No FR,167709376
900,yuccaQ,No FR,167710672
920,yuccaQ,No FR,167709104
940,yuccaQ,No FR,167710368
960,yuccaQ,No FR,167709568
980,yuccaQ,No FR,167711376
1000,yuccaQ,No FR,167710848
1020,yuccaQ,No FR,167710352
1040,yuccaQ,No FR,167710032
1060,yuccaQ,No FR,167709536
0,yuccaQ,No FR,167708272
20,yuccaQ,No FR,167708736
40,yuccaQ,No FR,167711248
60,yuccaQ,No FR,167715504
80,yuccaQ,No FR,167714048
100,yuccaQ,No FR,167721184
120,yuccaQ,No FR,167723552
140,yuccaQ,No FR,167725520
160,yuccaQ,No FR,167727456
