Plant,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
treat,,control,control,control,control,control,control,control,control,control,control,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR
gt,,Col,Col,Col,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,Col,Col,Col
treat_gt,,Col control,Col control,Col control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,Col EOD-FR,Col EOD-FR,Col EOD-FR
TL,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A


,232,17862524,15572694,16469516,13804493,4336014,9452424,12137104,12015451,9842717,3831164,14362935,17001990,20971900,18895912,14469720,10970693,42604020,39670716,41181824
,236,16964512,15262798,16928372,13438872,4593493,8449710,13035389,11824527,9882785,4025621,15130556,16639190,20566354,17648276,15542377,10876163,43050600,40473508,41224148
,240,17774004,15138506,16067318,13875975,3706604,8939389,12425336,11351822,10116122,3914719,14247439,16567488,19861524,17316060,14564847,11127494,42916172,39955564,40903616
,244,16794472,15048874,16546697,13420340,4191797,9210905,12729472,11543941,10454243,3462839,14904127,17347028,20031432,18154488,15253285,11154264,44255828,39333240,40873528
,248,17179140,15388534,16416272,14228432,3924701,9045171,11956114,11889291,10572139,3625695,14424348,17397510,20193116,18038284,15106641,11278739,43002112,39723472,40601772
,252,16755107,15629350,16579923,14140571,3563385,9714363,12803479,12084889,10649188,3690654,15037046,17678060,20112796,18297268,14172502,12373012,44714500,39590484,40675976
,256,17075720,14990053,17027042,13992633,3859348,9557578,11781408,11542196,10190084,4086656,14904058,17684726,20889556,18673186,15408655,11581288,44481360,39404508,41372756
,260,17692732,14899830,16071155,14141563,4035581,9715896,12685627,12424643,10728946,3975316,15580002,17790840,20482216,18211282,14828591,12603194,44327228,39398148,41829416
,264,16729052,15321601,16904964,14152309,3749534,8938160,12736440,12010973,10239228,3712156,14686180,17977926,20454564,18363332,14589214,11410499,44140864,38933976,40911304
,268,16975504,15442110,16860908,13775563,3930714,9030854,12293385,11655959,10734472,3751027,15216488,17695536,19812720,18319256,15056110,11308924,44185768,39764440,40533384
,272,16511995,15465064,17119296,14072645,4416410,9443819,13260805,11704030,10645343,3871597,15339694,18370284,20607256,18738716,15221835,11975005,44857132,38724928,40305184
,276,16978140,16069259,16842756,14663742,3892254,9328218,13198150,11582717,10865096,3807183,15739838,18849196,20510904,18124268,14652681,11709302,44234600,39607320,41807824
,280,16890384,16219491,17111004,14314722,4215656,9078258,13043723,11804708,10712447,3857689,14950746,18126782,21074328,17441548,14849630,11262922,44156380,38521572,41209748
,284,17597478,15626859,17146100,14025147,3806589,9411993,12388172,12079336,10219923,3872061,14675047,18875136,20142996,17147152,14617504,11575376,43971464,38302512,41009708
,288,17627368,15713804,16840442,13479481,3753427,9245548,13333491,11870639,10076499,3870486,14966811,18201548,20756640,17608960,13976515,11473414,44240060,38283128,41485608
,292,17458636,16042149,16458934,13677575,3794072,9410655,12547855,12279008,10642382,4013934,15325428,19611596,21086484,18356806,13822094,12114654,43771228,38506104,41161844
,296,17145582,15965442,17067992,13742758,3789609,10292665,12832171,11480716,10871551,4078766,14822204,19758792,21267492,18186068,14596933,11778924,44257032,38320060,40922004
,300,18054152,15761434,16478588,13358586,4163187,9102778,12866974,11609460,9760926,3839630,15117305,20121346,20915288,17854192,14048783,12410323,44322696,38343176,42169104
,304,18012316,15679631,17654840,13636644,4026865,9879789,13237754,11356446,10515901,3945776,14746814,20380860,20818204,18416602,13986501,11801126,43097132,37100112,42346380
,308,17228894,15465028,17452796,13365899,3969018,9509999,13056922,11372941,10300308,3809558,15173053,19760600,20836728,17776420,13608230,12342250,44167948,37134384,41525040
,312,17783332,16598987,17558016,14027852,3759330,9758211,13212313,11938083,10663145,4492195,14694913,20361752,21030486,18180136,14177656,12027466,43452044,37030412,41323956
,316,17386824,15612281,17543648,13780966,3967722,9587752,13352256,12133915,10819334,4145468,14847998,20683136,21208494,18001268,13685112,12239147,43341528,37567436,40922712
,320,17745332,16004515,17889636,13566977,3826643,9932049,13208381,11947631,10610406,4420216,15610476,21574198,21555174,17784316,13397606,11620212,43480988,37524412,42471384
,324,17861920,16100466,17341476,13769743,3861501,9323465,13309043,11852548,10220038,4274750,14866646,20653604,22211012,17352880,13034149,12157908,42311268,36943876,41717512
,328,18053900,16625717,17424242,14215704,3305952,9571976,13127100,12197673,10426846,4369603,15134915,21202688,21655832,17752604,12938007,11681883,41794952,37440736,41360312
,332,17909864,16207590,17781370,14455891,3540294,10043473,13087711,12267800,10599196,4175143,15005444,21254820,21574648,18620796,12967528,12400641,43319960,35809496,43080400
,336,17753800,16947984,18124436,15042527,3699472,10484469,13480346,11871895,10974519,4291344,14653888,20927336,22230324,18351642,12632970,12589135,42836144,37275504,41652696
,340,18684920,16950052,18467304,15476479,3881597,10091618,13338004,12338769,11058996,4470563,14678856,20060048,21647420,18222880,13392591,11868485,42077912,36269796,41686404
,344,18723982,17093918,18694424,15343969,3522492,10179176,13511090,12169580,10473216,4156397,14352809,21259892,22221624,18204934,12683802,12081357,41968404,36424960,41726884
,348,18059016,16781632,18530232,15250419,3427957,10272006,14390736,12673088,10522476,4196973,14893696,21248064,21669724,17552086,12997936,12023994,40615340,35512088,41616144
,352,18581440,17796132,18906360,15157022,3647415,10575837,13975998,12558073,10790272,4905008,14517659,20762152,22351240,18380666,12927419,12849877,41132308,35708104,41691736
,356,18439788,17621836,18888574,15823627,3914494,10866390,13818971,12714466,10548161,4655566,14387748,20554864,22455874,17673336,13089446,11466402,40644036,34885476,41657184
,360,18719872,17395048,19666340,15245310,3876633,10547204,13938669,12274037,11040744,4444067,14712145,20615414,20809050,17809424,12805655,11819278,39846404,34836536,41393232
,364,19285520,17381592,18841172,16232214,3844499,10291569,14087662,12322562,10744436,4480118,14678420,21461060,21198828,18389644,12864488,11858892,40805728,35442880,41597596
,368,18984920,18035464,18579194,15820383,4030947,10305166,14609988,12592125,10975793,4631589,14848883,20802356,21763548,17811452,12557273,11707072,40811368,34939660,41958164
