uniq,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94



,435,1405776,2636661,1802936,2268314,3558286,1231501,2601264,1138780,2097507,1521305,1955582,1512909,3276293,1691064,1188015,2574054,3134316,1827090,3042260,3240710,1762162,3183994,2231334,2165166,2764598,4018025,2836484,4086897,4489163,2160779,4974449,3370602,1680610,3777596,5660163,5480605,4587636,2221149,2884710,5008597,3585989,1626597,5870024,5011224,2585233,2339825,999348,1238677,1040646,3868014,2452140,1281661,2701143,1668157,5090769,3257095,3931981,3349284,1997305,4620286,3353858,2699967,1005440,1303421,945309,1564136,1710887,727127,1565049,954762,1080055,2235192,1338044,1281367,1621166,4478363,2549105,1095660,1968580,3928761,2053245,4602496,3835855,2105971,1098638,1151156,3261036,1106207,1399549,5665763,3550247,3905542,4512375,3962810
,465,1496544,2361910,2010211,2160073,3448229,1220034,2111807,1326833,2073580,1343022,1812983,1563842,3042310,1477179,1172742,2480614,2907356,2041249,3160392,3317759,1655300,3432017,2426978,2334142,2411007,4006781,3023125,3931151,4485938,1744554,5081043,2994992,1405140,3482552,5473105,5362511,4641551,1747799,2801704,5142083,4117685,1490904,5856581,4894656,2698792,1788913,972099,1159659,1050826,3840091,2541681,1293552,2695486,1460567,5191775,3360498,4336655,2630811,2261324,4789969,3150660,2404305,1419564,1275256,893687,1201706,1649869,554773,1582946,1112056,1101628,2805897,1302250,1331851,1448371,4028449,2291496,1122389,1898577,3712698,1833216,4757082,3750133,1948978,1102142,1263119,3281372,1190918,1319874,5607470,3288317,3712449,4613452,3579366
,495,1182343,2099733,1795656,2198102,3390951,1172324,2357186,1202940,2053304,1268431,1927550,1645059,3186496,1449295,1091659,2509668,3182609,1711761,2638072,3344262,1578559,3524666,2219171,2397772,2684437,4035346,2952456,3401094,4043879,1757282,4914199,3022735,1460865,3565381,5143075,5490269,4731239,1854969,2656057,4539998,3606109,1569867,5617925,4862453,2662928,1407765,892961,1155243,926008,4052430,2221088,1700308,2867381,1611899,4801474,3726120,3744390,2942749,1989764,4373660,2907618,2901835,1279732,1226050,819729,1185898,1529175,428388,1511111,813282,890065,2674414,1098074,1313914,1474636,3970101,2235298,1351858,1879897,3576061,1821220,3654876,3761593,1642773,1139093,1146244,3028987,1040481,1239353,5262226,3245149,3689267,4541938,3808466
,525,1337822,2168197,1652984,1964942,3445109,1138339,2523772,1086659,1912741,1443563,1918371,1789589,2934937,1542612,933100,1958064,3182883,2126277,2832758,3554635,1582986,3624018,2209923,2345125,2617185,3761897,2849146,3325919,3871810,1988182,4514042,3294023,1572636,3496678,5053405,5583267,4741975,2092527,2637949,4140343,3621855,1684519,5782984,4782594,2979723,1882287,1182088,1069739,932814,3698895,2420420,1474334,3136309,1761059,5312066,3253668,4026933,2677920,2233903,4758969,3096839,2640694,1224318,1488491,780959,1448435,1638849,472990,1300610,1038012,749292,2496676,1234149,1272194,1476688,3826483,2078716,1444501,1930646,2770156,1964264,4048519,4256331,1883430,1023788,957912,3713154,1237323,1137163,5686263,3177882,3805063,4239374,3066401
,555,1277104,1930255,1672485,2055337,3670032,1199282,2443784,1039871,1863603,1150091,1997964,1270384,3301741,1557016,1092250,2156221,3279396,1935028,3160727,3076257,1745006,3576649,1956652,2355237,2656708,3865438,2939651,3493104,4162723,1893613,4763491,2979281,1372538,3567445,4852984,5188546,4402080,1937118,2243345,4573830,3526968,1880885,5560988,4723750,2599961,1644741,973305,933309,1021576,3670029,2856251,1548902,3210802,1951292,5230429,3288413,3807248,2912174,2246207,5225383,3100367,2323625,1079374,1307166,670201,1414754,1765668,469097,1479457,962291,618783,2495028,1128680,1366443,1523320,3824068,2097462,1220379,1984701,2830376,1667880,4133992,3867200,1466653,1241942,1099904,3627712,1192962,1220072,4850207,3383449,3280745,3678200,3275703
,585,1258421,2143631,1761620,2388922,3308799,1079556,2339680,1290274,1785115,1029707,2069379,1295069,2977887,1534527,1111996,2187532,3390622,1841954,2942318,3518637,1702033,3165562,2161678,2219821,2858433,3912331,2908634,3150893,3382728,1750481,4465545,2904840,1288011,3289209,4986218,4920215,4303981,2134565,2249958,4342547,3201628,1601327,5013126,4372058,2243559,1420906,1002660,1157001,1010505,3552723,2500172,1178491,3589653,1816989,4950154,3132102,3922101,3088737,1998375,4889379,3328295,2247722,1261881,1212881,640065,1197555,1677088,445637,1270509,846721,825761,2787770,1231803,1353640,1316320,3822837,2139406,1023299,1514345,2569656,1544111,3599352,2981022,1588936,904371,991759,3259977,1068521,1218380,4222934,3323356,3096041,3942284,3402982
,615,1511806,2231445,1875908,1949510,3505948,981141,2658671,1160790,2038352,1252739,2355815,1186115,3351753,1298756,813787,2221774,3203305,1758926,2899328,3531235,1326064,3259188,2030387,2086990,2916928,3615429,2687472,2971219,3392880,1659709,3890896,2847314,1137982,2966128,4638602,4494432,4041025,1552900,2445263,3741922,3293069,1462604,4825534,4411899,1858952,1687406,801095,975432,1065042,3406869,2620059,1389975,4044465,1839787,4714585,3327740,3507774,2954159,2177695,4825956,3610378,2249178,1054046,1349199,526225,1204191,1656059,356593,1276972,937179,825297,2785587,1013487,1333328,1026914,3659751,1823565,959097,1568464,2489229,1176989,2769404,3154091,1402011,787208,1001178,3155885,965822,1031699,3758197,2692291,3001951,3955632,2993493
,645,1338544,2275879,1398863,2006881,3510303,882457,2254670,1037265,1920812,1370697,2122408,1394413,3310051,1426078,959677,2055029,3264619,1818241,2678046,3837809,1208642,3461691,1827393,2281553,2501863,3455990,2663567,3151635,3960484,1715227,4142920,2952874,1023173,3371615,4468049,4708578,3804797,1759046,2044990,3534216,2926428,1718083,4485572,4494302,2080744,1861924,961559,986240,990014,3785569,2394819,1386333,4034510,1945923,4853552,2675432,3463013,2806399,2153074,5169026,3907176,3029962,1382830,1178815,540218,1239384,1655056,261914,1367099,610875,843678,2628313,1042809,1155131,1133002,3546987,1777179,1133051,1532698,2303473,1458799,2949611,3171535,1391183,758631,1065259,2985646,1214402,993283,3776109,2380548,2537712,3844783,2810507
,675,1300185,2199342,1481490,1951715,3589824,760312,2460048,1035955,1947089,1327420,2020995,1309116,3120949,1388694,834231,2263530,3527386,1816696,2680766,3574081,1351563,3402917,1692349,2576297,2812951,3445979,2211743,2827299,3147638,1849919,3699560,2768718,1217698,3089812,4513167,4529903,3814819,1537271,2039816,3797083,3181196,1861104,5041950,4592360,1853572,1539898,791007,1078996,815000,3449796,2845989,1522354,4492429,1936992,4663630,3143985,3849565,2819213,2214117,5126004,3722874,2448376,1251322,1336530,524843,1146952,1640577,353829,1054498,769453,646539,2660561,997357,1504986,1001171,3205889,1782312,905490,1519147,2057496,1178709,2300162,2745446,1162040,725766,991217,3005294,915338,941910,3768600,2136734,2624075,2985131,3038631
,705,1177997,2330282,1545825,2251636,3448926,826574,2268009,1045952,1822268,1233589,2416317,1000617,2930839,1630205,970143,1979611,3294272,1710011,2752497,3684107,1255237,3409545,1901267,2241933,2598472,3266582,2014378,2985163,3508700,1471296,3588983,2414318,1374359,2730386,4093942,4154528,3537927,1570548,1883813,3799623,2805620,1538848,4456497,4177230,1696236,1393138,698257,954487,1003849,3677159,2738311,1534041,4214504,1766507,4723497,2735006,3520852,2947157,1956306,4608915,3446862,2402110,1068799,1422546,486345,1020000,1805266,395419,1119741,657059,638902,2568545,871397,1298960,1011235,2789963,1747298,882599,1336666,2008112,1221553,2140809,2301856,1169761,744679,876587,2825016,793929,837231,3438340,1968933,2343114,2904354,2431317
,735,1370706,2134897,1698230,2305889,3273601,872393,2217556,1088257,1850613,1179202,2252632,994398,2826177,1390009,920684,1586768,3368079,1974923,2501984,3384975,1283708,3447756,1736821,2388742,2563152,3183355,2124618,2853460,3712737,1385145,3698818,2377479,1109245,2721290,3913903,4239703,3347900,1347117,1698445,3355737,2765003,1639102,4433795,3960346,1868944,1400566,733609,801890,1212762,3434702,2778405,1872646,4403826,2081285,4772094,2857973,3395800,2878520,2312948,4778571,3724342,2713792,920268,1328298,381339,1210703,1793997,292703,1133081,747571,749352,2472110,917708,1074260,1061705,2982203,1798501,709410,1589588,1745515,1016635,4690516,2413632,1217287,739272,907785,2616883,679980,883685,3370048,2032534,2314150,2993399,2505190
,765,1326209,2433450,1573951,1971884,3329686,739846,2593550,1077243,1857084,1296626,2263385,1110249,2931735,1606103,1219569,1972835,3004094,1675233,2749623,3569378,1268380,3413449,1652236,2418792,2992506,3275693,2170061,2562507,3478334,1728851,3507314,2383721,1032517,2518935,3510140,4094882,3446641,1215212,1565247,3330019,2575709,1350571,4396536,3905280,1788136,1436318,551625,769056,1017653,3184169,2657754,1342486,4394104,2369244,4844402,2783409,3490634,2844468,2412245,4942248,3642125,2953452,1091227,1334052,294058,1170464,1863711,358271,925979,672542,584879,2422888,764706,1182333,783782,2822082,1555027,752520,1418566,2058379,984338,1629840,2162136,872651,795562,807078,2250891,776103,877093,3148573,2020403,2154546,2918265,2404531
,795,1227134,2454752,1497457,2150084,3268727,744171,2357316,979168,2034210,1261150,2427712,859373,2650154,1383475,1009016,1769661,3022471,1799466,2518294,3409959,1159183,3072481,1376829,2319719,2673452,2921872,2522422,2678204,3366847,1312676,3590707,2119828,1209199,2338726,3827032,3985933,3474087,1112724,1849720,3264990,2415940,1466258,3897180,3716222,1640395,1427935,721001,734121,1289026,3091544,2647774,1410982,4320446,2359618,4708915,2720298,3620344,3026294,2445068,5250054,3554353,3020397,1092680,1597960,371036,1492491,1672871,317451,841554,771867,582583,2476620,842852,1232801,813649,3126392,1620101,680029,1142870,1757768,955944,1716850,2251846,944356,597894,951472,2152226,781829,972275,2922156,1936125,2384916,2561762,2005736
,825,1650307,2452590,1716744,2089802,2906729,687418,2151524,968729,2176965,1246707,2201517,779019,3009924,1292344,1111694,1756137,3087946,1774588,2464533,3498471,1369326,3104506,1377039,2445642,2515520,3087379,1850579,2593141,3352017,1527491,3183360,2180230,966747,2431069,3222164,4015538,3192992,1086739,1592882,3135556,2428162,1639052,3938905,3121915,1623131,1802288,583067,867117,1046861,3245363,2838406,1286695,4492892,2237860,4660227,2579006,3424194,3176123,2301108,5209744,3622154,3169123,1157817,1600766,516267,1298449,1909769,305160,859377,776756,708721,2042966,679777,1225337,580647,2597205,1624318,695134,1156468,1904916,974440,5237695,2022971,1061357,503702,867685,2184246,884555,618130,2771730,1962340,2315349,2517755,1695327
